"sample"	"condition"	"strain"	"age"	"file"
"AN266"	"Foxn1KO"	"B6"	"P28"	"AN266.tsv"
"AN267"	"Foxn1KO"	"B6"	"P28"	"AN267.tsv"
"AN268"	"Foxn1KO"	"B6"	"P28"	"AN268.tsv"
"AN269"	"Foxn1KO"	"B6"	"P28"	"AN269.tsv"
"AN260"	"WT"	"B6"	"P1"	"AN260.tsv"
"AN261"	"WT"	"B6"	"P1"	"AN261.tsv"
"AN131"	"Fgf7het"	"B6"	"P28"	"AN131.tsv"
"AN132"	"Fgf7het"	"B6"	"P28"	"AN132.tsv"
"AN133"	"Fgf7wt"	"B6"	"P28"	"AN133.tsv"
"AN134"	"Fgf7wt"	"B6"	"P28"	"AN134.tsv"
"AN136"	"Fgf7wt"	"B6"	"P28"	"AN136.tsv"
"AN137"	"RosaYFPposmCardpos"	"B6"	"P28"	"AN137.tsv"
"AN138"	"RosaYFPposmCardneg"	"B6"	"P28"	"AN138.tsv"
"AN139"	"RosaYFPposmCardpos"	"B6"	"P28"	"AN139.tsv"
"AN140"	"RosaYFPposmCardneg"	"B6"	"P28"	"AN140.tsv"
"AN166"	"Fgf7het"	"B6"	"P28"	"AN166.tsv"
"AN276"	"Bmp4"	"B6"	"P28"	"AN276.tsv"
"AN277"	"Bmp4"	"B6"	"P28"	"AN277.tsv"
"AN278"	"Bmp4"	"B6"	"P28"	"AN278.tsv"
"BK001"	"WT"	"PWK"	"P28"	"BK001.tsv"
"BK002"	"WT"	"PWK"	"P28"	"BK002.tsv"
"BK003"	"WT"	"PWK"	"P28"	"BK003.tsv"
"BK004"	"WT"	"PWK"	"P28"	"BK004.tsv"
"BK1_Ascl1"	"Ascl1KO"	"B6"	"P28"	"BK1_Ascl1.tsv"
"BK2_Ascl1"	"Ascl1KO"	"B6"	"P28"	"BK2_Ascl1.tsv"
"BK3_Ascl1"	"Ascl1KO"	"B6"	"P28"	"BK3_Ascl1.tsv"
"BK7"	"WT"	"FVB"	"P28"	"BK7.tsv"
"BK8"	"WT"	"FVB"	"P28"	"BK8.tsv"
"BK9"	"WT"	"FVB"	"P28"	"BK9.tsv"
"BK10"	"WT"	"FVB"	"P28"	"BK10.tsv"
"BK11"	"WT"	"FVB"	"P28"	"BK11.tsv"
"BK12"	"WT"	"FVB"	"P28"	"BK12.tsv"
"BK1"	"Foxn1het"	"B6"	"P28"	"BK1.tsv"
"BK2"	"Foxn1het"	"B6"	"P28"	"BK2.tsv"
"BK3"	"Foxn1het"	"B6"	"P28"	"BK3.tsv"
"BK4"	"Foxn1het"	"B6"	"P28"	"BK4.tsv"
"AN42"	"AF4"	"B6"	"P28"	"AN42.tsv"
"AN43"	"AF4"	"B6"	"P28"	"AN43.tsv"
"AN44"	"AF4"	"B6"	"P28"	"AN44.tsv"
"AN45"	"AF4"	"B6"	"P28"	"AN45.tsv"
"AN207"	"WT"	"B6"	"P28"	"AN207.tsv"
"AN208"	"WT"	"B6"	"P28"	"AN208.tsv"
"AN209"	"WT"	"B6"	"P28"	"AN209.tsv"
"AN202"	"WT"	"B6"	"E15_5"	"AN202.tsv"
"AN203"	"WT"	"B6"	"E15_5"	"AN203.tsv"
"AN204"	"WT"	"B6"	"E15_5"	"AN204.tsv"
"AN205"	"WT"	"B6"	"E15_5"	"AN205.tsv"
"AN235"	"chi6.down"	"FVB"	"NA"	"AN235.tsv"
"AN237"	"chi6.down"	"FVB"	"NA"	"AN237.tsv"
"AN148"	"chi6.down"	"FVB"	"NA"	"AN148.tsv"
"AN59"	"chi6.down"	"FVB"	"NA"	"AN59.tsv"
"AN155"	"chi6.down"	"FVB"	"NA"	"AN155.tsv"
"AN156"	"chi6.down"	"FVB"	"NA"	"AN156.tsv"
"AN157"	"chi6.down"	"FVB"	"NA"	"AN157.tsv"
"AN159"	"chi6.down"	"FVB"	"NA"	"AN159.tsv"
"AN234"	"chi6.down"	"FVB"	"NA"	"AN234.tsv"
"AN160"	"chi6.up"	"FVB"	"NA"	"AN160.tsv"
"AN243"	"chi6.up"	"FVB"	"NA"	"AN243.tsv"
"AN241"	"chi6.up"	"FVB"	"NA"	"AN241.tsv"
"AN149"	"chi6.up"	"FVB"	"NA"	"AN149.tsv"
"AN150"	"chi6.up"	"FVB"	"NA"	"AN150.tsv"
"AN147b"	"chi6.up"	"FVB"	"NA"	"AN147b.tsv"
"AN229"	"chi6.up"	"FVB"	"NA"	"AN229.tsv"
"AN230"	"chi6.up"	"FVB"	"NA"	"AN230.tsv"
"AN232"	"chi6.up"	"FVB"	"NA"	"AN232.tsv"
"AN233"	"chi6.up"	"FVB"	"NA"	"AN233.tsv"
"AN152"	"chi6.up"	"FVB"	"NA"	"AN152.tsv"
"AN153"	"chi6.up"	"FVB"	"NA"	"AN153.tsv"
"AN227"	"chi6.up"	"FVB"	"NA"	"AN227.tsv"
"AN228"	"chi6.up"	"FVB"	"NA"	"AN228.tsv"
"AN128"	"chi6.up"	"FVB"	"NA"	"AN128.tsv"
"cmF1_4_143"	"cmdtgF1F4"	"B6"	"P28"	"cmF1_4_143.tsv"
"cmF1_4_161"	"cmdtgF1F4"	"B6"	"P28"	"cmF1_4_161.tsv"
"cmF1_4_198"	"cmdtgF1F4"	"B6"	"P28"	"cmF1_4_198.tsv"
"cmF1_4_96"	"cmdtgF1F4"	"B6"	"P28"	"cmF1_4_96.tsv"
"cmF1_4_99"	"cmdtgF1F4"	"B6"	"P28"	"cmF1_4_99.tsv"
"RM10"	"cmF4"	"B6"	"P28"	"RM10.tsv"
"RM11"	"cmF4"	"B6"	"P28"	"RM11.tsv"
"RM12"	"cmF4"	"B6"	"P28"	"RM12.tsv"
"RM6"	"cmF1"	"B6"	"P28"	"RM6.tsv"
"RM7"	"cmF1"	"B6"	"P28"	"RM7.tsv"
"RM8"	"cmF1"	"B6"	"P28"	"RM8.tsv"
"RM9"	"cmF4"	"B6"	"P28"	"RM9.tsv"
